TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
248954,Svampar,blek fagerspindling,Cortinarius catharinae,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
248955,Svampar,tvillingspindling,Cortinarius metarius,Sårbar VU,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2c+3c+4c; C2a(i)

Signalvärde: Högt

Växer med gran och indikerar vanligen kalkrik mark. "
248956,Svampar,gulsträngad fagerspindling,Cortinarius haasii,Sårbar VU,,,,,,,,,,,H-MH,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Högt-Mycket högt

Växer med tall och är i vårt land enbart känd från Gotland. Indikerar kalkrik mark. "
248957,Svampar,lilaflockig spindling,Cortinarius lilacinovelatus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
248958,Svampar,bredfotsspindling,Cortinarius platypus,Sårbar VU,,,,,,,,,,x,H-H,,"Rödlistekriterium 2020: D1

Signalvärde: Högt"
248959,Svampar,vesterholtspindling,Cortinarius vesterholtii,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Mycket högt"
248968,Kärlväxter,rysstarr,Carex praecox,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
249008,Kärlväxter,öselskallra,Rhinanthus osiliensis,Nära hotad NT,,x,,,,,7§,,,,H-H,,"Rödlistekriterium 2020: B1a+2a; D2

Öselskallra (Rhinanthus osiliensis) är fridlyst enligt 7 § i hela landet.

Signalvärde: Högt"
249011,Steklar,väddstekel,Abia sericea,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
249012,Steklar,Abia candens,Abia candens,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249014,Steklar,Abia lonicerae,Abia lonicerae,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249020,Steklar,Praia taczanowskii,Praia taczanowskii,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249022,Steklar,Pseudoclavellaria amerinae,Pseudoclavellaria amerinae,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249046,Fjärilar,vampyrfly,Calyptra thalictri,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ac(iv)
249048,Tvåvingar,eksotblomfluga,Psilota innupta,Nationellt utdöd RE,,,,,,,,,,,MH-MH,,Signalvärde: Mycket högt
249088,Blötdjur,glansig riskornssnäcka,Retusa nitidula,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
249094,Blötdjur,Propebela scalaroides,Propebela scalaroides,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249109,Koralldjur,Anthothela grandiflora,Anthothela grandiflora,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B1ab(iii)
249112,Nässeldjur,Sideractis glacialis,Sideractis glacialis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
249113,Steklar,hedguldstekel,Cleptes nitidulus,Nära hotad NT,,,,,,,,,,x,H-H,,"Rödlistekriterium 2020: B2ab(ii,iii)

Knuten till bon av växtsteklar av familjen Tenthredinidae. Kleptoparasit.

Signalvärde: Högt"
249116,Steklar,reliktguldstekel,Chrysura dichroa,Nationellt utdöd RE,,,,,,,,,,,MH-MH,,Signalvärde: Mycket högt
249126,Steklar,kustguldstekel,Chrysis vanlithi,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249127,Steklar,lerguldstekel,Chrysis mediata,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249138,Steklar,irisguldstekel,Chrysis iris,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(i,ii,iv,v); D1

Signalvärde: Högt"
249140,Steklar,nordguldstekel,Chrysis zetterstedti,Akut hotad CR,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: B2ab(i,ii,iv,v)c(iv)

Signalvärde: Mycket högt"
249147,Steklar,blå glansguldstekel,Philoctetes truncatus,Akut hotad CR,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: D

Signalvärde: Mycket högt"
249148,Steklar,bred spatelguldstekel,Elampus constrictus,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv)

Signalvärde: Högt"
249167,Steklar,parasitsmalmyra,Leptothorax goesswaldi,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(iii,v)+2ab(iii,v)"
249178,Steklar,sydhedmyra,Formica bruni,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
249180,Steklar,matt hedmyra,Formica foreli,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B1a+2a
249190,Fjärilar,östlig sikelvecklare,Ancylis kenneli,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249226,Svampar,Cortinarius lepistoides,Cortinarius lepistoides,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249227,Svampar,fyllitspindling,Cortinarius cordatae,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
249232,Svampar,vattrad spindling,Cortinarius arcifolius,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
249236,Svampar,karamellspindling,Cortinarius osmophorus,Sårbar VU,,,,,,,,,,x,H-MH,,"Rödlistekriterium 2020: D1

Signalvärde: Högt-Mycket högt

Indikerar kalkrika marker. Påträffas huvudsakligen där det föreligger lång kontinuitet av ädellövträd. "
249237,Svampar,filtekspindling,Cortinarius rapaceotomentosus,Sårbar VU,,,,,,,,,,x,MH-MH,,"Rödlistekriterium 2020: D1

Signalvärde: Mycket högt

Indikerar varma kalkrika marker. Påträffas huvudsakligen där det föreligger lång kontinuitet av ek. "
249240,Svampar,gulslöjad spindling,Cortinarius langeorum,Sårbar VU,,,,,,,,,,x,MH-MH,,"Rödlistekriterium 2020: D1

Signalvärde: Mycket högt

Indikerar starkt kalkrika marker. Påträffas huvudsakligen där det föreligger lång kontinuitet av bok. "
249241,Svampar,granatspindling,Cortinarius cruentipellis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
249242,Svampar,frökenspindling,Cortinarius gracilior,Starkt hotad EN,,,,,,,,,,x,MH-MH,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Mycket högt

Indikerar varma kalkrika marker. Påträffas huvudsakligen där det föreligger lång kontinuitet av ädellövträd eller hassel. Frökenspindling är mycket sällsynt i Sverige och med säkerhet bara känd genom enstaka fynd från Öland och Gotland."
249243,Svampar,apelsinspindling,Cortinarius rhizophorus,Sårbar VU,,,,,,,,,,x,H-H,,"Rödlistekriterium 2020: D1

Signalvärde: Högt"
249244,Svampar,Cortinarius aquilanus,Cortinarius aquilanus,Sårbar VU,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: D1

Signalvärde: Högt"
249245,Svampar,Cortinarius xantho-ochraceus,Cortinarius xantho-ochraceus,Sårbar VU,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: D1

Signalvärde: Mycket högt

Indikerar vanligen starkt kalkrika marker. Påträffas huvudsakligen där det föreligger lång kontinuitet av bok."
249246,Svampar,Cortinarius majoranae,Cortinarius majoranae,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
249248,Svampar,blek bananspindling,Cortinarius citrinoolivaceus,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
249249,Svampar,grynspindling,Cortinarius olidoamethysteus,Kunskapsbrist DD,,,,,,,,,,x,X-X,,Signalvärde: -
249254,Svampar,mospindling,Cortinarius areni-silvae,Nära hotad NT,,,,,,,,,,,P-P,,"Rödlistekriterium 2020: A2c+3c+4c

Signalvärde: Påtagligt

Indikerar vanligen långvarig trädkontinuitet med tall i kombination med återkommande kraftiga successionsstörningar, vilket över tid bibehållit mer eller mindre öppna sandytor."
249261,Svampar,Cortinarius obsoletus,Cortinarius obsoletus,Sårbar VU,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: D1

Signalvärde: Högt"
249278,Svampar,barrviolspindling,Cortinarius harcynicus,Nära hotad NT,,,,,,,,,,,P-P,,"Rödlistekriterium 2020: A2c+3c+4c

Signalvärde: Påtagligt

Indikerar humida granskogar med lång grankontinuitet."
249304,Svampar,Cortinarius fragrantior,Cortinarius fragrantior,Kunskapsbrist DD,,,,,,,,,,,X-X,,Signalvärde: -
249310,Svampar,Cortinarius hinnuleoarmillatus,Cortinarius hinnuleoarmillatus,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
249326,Svampar,Cortinarius roseipes,Cortinarius roseipes,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2c
249379,Svampar,stor stinkbrosking,Gymnopus brassicolens,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
249413,Tvåvingar,Urytalpa atriceps,Urytalpa atriceps,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B1ac(iv)

Signalvärde: Högt"
249457,Blötdjur,Yoldiella nana,Yoldiella nana,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
249461,Tvåvingar,Dilophus borealis,Dilophus borealis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249536,Blötdjur,Thracia gracilis,Thracia gracilis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249808,Tvåvingar,Tipula crassicornis,Tipula crassicornis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249886,Tvåvingar,Bibio siebkei,Bibio siebkei,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249890,Tvåvingar,Dilophus humeralis,Dilophus humeralis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249902,Tvåvingar,Oebalia unistriata,Oebalia unistriata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
249903,Steklar,strandguldstekel,Cleptes semicyaneus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249907,Steklar,gnistguldstekel,Chrysis ignita,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: B2ab(i,iii,iv,v)

Signalvärde: Mycket högt"
249917,Lavar,bredlobig filtlav,Peltigera latiloba,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249939,Lavar,östlig ladlav,Calicium lucidum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
249984,Lavar,hårskållav,Psoroma paleaceum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
249993,Lavar,vit skärelav,Sporodophoron cretaceum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
250049,Blötdjur,mindre sammetssnäcka,Velutina plicatilis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250050,Blötdjur,Eulimella ventricosa,Eulimella ventricosa,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250052,Blötdjur,Antalis occidentalis,Antalis occidentalis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250072,Svampar,karminticka,Erastia ochraceolateritia,Nära hotad NT,,,,,,,,,,x,H-H,,"Rödlistekriterium 2020: D1

Signalvärde: Högt

Knuten till barrnaturskog och indikerar gamla skogsekosystem med långvarig förekomst av grov död barrved."
250079,Svampar,Postia balsamina,Postia balsamina,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250096,Svampar,rosa fetticka,Odoria alborubescens,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: D

Signalvärde: Mycket högt"
250110,Svampar,rotröksvamp,Lycoperdon radicatum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
250118,Tagghudingar,grustrådormstjärna,Amphiura securigera,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250123,Blötdjur,högnordisk grynsnäcka,Vertigo ultimathule,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250126,Blötdjur,kärrpuppsnäcka,Pupilla alpicola pratensis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a
250139,Blötdjur,Melanella polita,Melanella polita,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250141,Tvåvingar,Ditomyia fasciata,Ditomyia fasciata,Nationellt utdöd RE,,,,,,,,,,,MH-MH,,Signalvärde: Mycket högt
250143,Tvåvingar,Symmerus nobilis,Symmerus nobilis,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(iii)

Signalvärde: Högt"
250161,Skalbaggar,Gyrophaena transversalis,Gyrophaena transversalis,Kunskapsbrist DD,,,,,,,,,,,P-X,,"Signalvärde: Påtagligt

Enbart finnen på några få platser i västra Skåne. Lever liksom andra arter i släktet av sporer av olika typer av svampar, arten är funnen i mycelhaltig förna i anslutning till ringtrådskivling på sandmark, på fjällticka och på luden vitriska."
250162,Fjärilar,Hesperia comma comma,Hesperia comma comma,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2bc+3c

Signalvärde: Högt

Knuten till varma torra blomrika ängar och torrbackar, helst på sandmark. Förekomst pekar på goda förhållanden för andra värmekrävande sandmarksinsekter."
250163,Fjärilar,Hadena filograna estonica,Hadena filograna estonica,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1b(iii,v)c(iv)+2b(iii,v)c(iv)"
250164,Fjärilar,Hadena filograna xanthocyanea,Hadena filograna xanthocyanea,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2b(iii,v)c(iv); D2"
250165,Fjärilar,Melitaea cinxia cinxia,Melitaea cinxia cinxia,Sårbar VU,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2abc

Signalvärde: Högt

Knuten till varma blomrika gräsmarker med hävdkontinuitet. "
250166,Fjärilar,Melitaea cinxia winbladi,Melitaea cinxia winbladi,Nära hotad NT,,,,,,,,,,,P-P,,"Rödlistekriterium 2020: B1b(ii,iii)c(iv)

Signalvärde: Påtagligt

Knuten till varma blomrika gräsmarker med hävdkontinuitet. "
250167,Steklar,kronguldstekel,Hedychridium caputaureum,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2a

Signalvärde: Högt"
250187,Tvåvingar,Achalcus bimaculatus,Achalcus bimaculatus,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B1ab(ii,iii)+2ab(ii,iii)

Signalvärde: Högt"
250191,Tvåvingar,Acropsilus niger,Acropsilus niger,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250195,Tvåvingar,Chrysotus arcticus,Chrysotus arcticus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
250265,Skalbaggar,rönnplattnos,Gonotropis gibbosa,Nära hotad NT,,,,,,,,,,,H-X,,"Rödlistekriterium 2020: B2ab(iii,iv)

Signalvärde: Högt"
250285,Svampar,orange bokticka,Frantisekia mentschulensis,Starkt hotad EN,,,,,,,,,,x,0-0,,Rödlistekriterium 2020: D
250290,Tvåvingar,mörkbårdad klarvingesvävfluga,Villa fasciata,Nationellt utdöd RE,,,,,,,,,,,MH-MH,,Signalvärde: Mycket högt
250388,Halvvingar,Edwardsiana ulmiphagus,Edwardsiana ulmiphagus,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2b(iii)
250432,Fjärilar,almvårvecklare,Acleris kochiella,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3ce
250433,Fjärilar,pärlfläcksvecklare,Clepsis nybomi,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251276,Kärlväxter,silverfibbla,Hieracium argentarium,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
251277,Kärlväxter,flikig tallfibbla,Hieracium askii,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
251278,Kärlväxter,plymfibbla,Hieracium cirrobractum,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
251279,Kärlväxter,arnoldfibbla,Hieracium arnoldii,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv)"
251291,Kärlväxter,Hieracium chauliodon,Hieracium chauliodon,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251292,Kärlväxter,Hieracium chlorolomiceps,Hieracium chlorolomiceps,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251295,Kärlväxter,Hieracium elongaticeps,Hieracium elongaticeps,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251296,Kärlväxter,smal gnejsfibbla,Hieracium elongatifrons,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a; D1
251297,Kärlväxter,emblafibbla,Hieracium emblae,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
251307,Kärlväxter,gotländsk tallfibbla,Hieracium hangvarense,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v); D"
251308,Kärlväxter,helenafibbla,Hieracium helenae,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
251309,Kärlväxter,leverfibbla,Hieracium hepaticum,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
251310,Kärlväxter,rundfjällig rufsfibbla,Hieracium imbricatum,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
251311,Kärlväxter,irmafibbla,Hieracium irmae,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
251313,Kärlväxter,smal rödbetsfibbla,Hieracium lepidiforme,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
251314,Kärlväxter,ljus flikfibbla,Hieracium limitaneum,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
251316,Kärlväxter,snipfibbla,Hieracium mucrodentatum,Akut hotad CR,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
251317,Kärlväxter,vikarbyfibbla,Hieracium mundulifolium,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251343,Steklar,större vedlarvsstekel,Pristaulacus gibbator,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B1ab(iii)
251350,Steklar,bredkindad bistekel,Gasteruption minutum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
251353,Steklar,hedbistekel,Gasteruption undulatum,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1b(iv,v)"
251415,Alger,fjällprasiola,Prasiola fluviatilis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251425,Alger,gleoplax,Gloeoplax weberi,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251431,Alger,fjäderdun,Ptilothamnion pluma,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251447,Alger,klotsporig pärlbandsalg,Kumanoa globospora,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251452,Alger,gröntonig pärlbandsalg,Virescentia vogesiaca,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
251454,Alger,korsvattensten,Hydrolithon cruciatum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251460,Alger,slemsnärjepyssling,Acrochaetium dumontiae,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251461,Alger,kedjepyssling,Acrochaetium catenulatum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
251462,Kärlväxter,späd fetfibbla,Hieracium gracilifrons,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); D1"
251464,Kärlväxter,östmanfibbla,Hieracium oestmanii,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); D1"
251466,Kärlväxter,tvillingfibbla,Hieracium oligasterum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
251811,Kärlväxter,uppsalafibbla,Hieracium praviforme,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
251899,Kärlväxter,småländsk rufsfibbla,Hieracium subramosum,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); D1"
251900,Kärlväxter,transtrandsfibbla,Hieracium transtrandense,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
252268,Tvåvingar,gulbandad vårmygga,Culiseta subochrea,Kunskapsbrist DD,,,,,,,,,,,0-0,,
252274,Tvåvingar,stallfrossmygga,Anopheles atroparvus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
252279,Tvåvingar,blygrå frossmygga,Anopheles plumbeus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
252385,Svampar,Sowerbyella densireticulata,Sowerbyella densireticulata,Kunskapsbrist DD,,,,,,,,,,,0-0,,
252386,Svampar,långfotad murkla,Gyromitra splendida,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
252387,Svampar,almrostöra,Hymenochaete ulmicola,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3ce
252388,Svampar,skaftad skiktdyna,Daldinia vernicosa,Kunskapsbrist DD,,,,,,,,,,,0-0,,
252389,Svampar,Cucurbitaria coronillae,Cucurbitaria coronillae,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Mycket högt

En mycket sällsynt parasitisk svamp som lever på växten gulkronill. Värdväxten förekommer endast på Öland och Gotland och även den rödlistad. Den är troligtvis en värmetidsrelikt som hållit sig kvar i områden med mycket sol och på lokaler med gynnsamt mikroklimat."
252391,Svampar,Mycosphaerella chimaphilae,Mycosphaerella chimaphilae,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2c
253588,Steklar,Helcon angustator,Helcon angustator,Kunskapsbrist DD,,,,,,,,,,,0-0,,
253774,Svampar,ljungporing,Sistotrema albopallescens,Kunskapsbrist DD,,,,,,,,,,,0-0,,
253780,Svampar,Subulicium rallum,Subulicium rallum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
253792,Svampar,Xylodon tuberculatus,Xylodon tuberculatus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
253810,Svampar,skorpgrynna,Dichostereum boreale,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
253825,Svampar,gryntagging,Steccherinum aridum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
254018,Steklar,Syzeuctus bicornis,Syzeuctus bicornis,Kunskapsbrist DD,,,,,,,,,,,0-0,,
254019,Steklar,Syzeuctus fuscator,Syzeuctus fuscator,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii)"
254252,Steklar,Hellwigia elegans,Hellwigia elegans,Nationellt utdöd RE,,,,,,,,,,,0-0,,
255700,Steklar,Eremotylus curvinervis,Eremotylus curvinervis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
255701,Steklar,Eremotylus marginatus,Eremotylus marginatus,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(v)
255874,Steklar,Clistopyga rufator,Clistopyga rufator,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii)"
255878,Steklar,Delomerista japonica,Delomerista japonica,Kunskapsbrist DD,,,,,,,,,,,0-0,,
255880,Steklar,Delomerista longicauda,Delomerista longicauda,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2b(iii)
255886,Steklar,Dolichomitus cephalotes,Dolichomitus cephalotes,Kunskapsbrist DD,,,,,,,,,,,0-0,,
255888,Steklar,Dolichomitus curticornis,Dolichomitus curticornis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
255896,Steklar,Dolichomitus scutellaris,Dolichomitus scutellaris,Kunskapsbrist DD,,,,,,,,,,,0-0,,
255913,Steklar,Hybomischos septemcinctorius,Hybomischos septemcinctorius,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,iv)"
255923,Steklar,Perithous divinator,Perithous divinator,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(iii)

Signalvärde: Högt"
255925,Steklar,Perithous speculator,Perithous speculator,Kunskapsbrist DD,,,,,,,,,,,0-0,,
255941,Steklar,Tromatobia forsiusi,Tromatobia forsiusi,Kunskapsbrist DD,,,,,,,,,,,0-0,,
255946,Steklar,Tromatobia variabilis,Tromatobia variabilis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2b(iii)
255955,Steklar,Itoplectis clavicornis,Itoplectis clavicornis,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,iv)"
255959,Steklar,Itoplectis melanocephala,Itoplectis melanocephala,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii)"
255974,Steklar,Theronia atalantae,Theronia atalantae,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
255975,Steklar,Theronia laevigata,Theronia laevigata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
256005,Steklar,Neoxorides varipes,Neoxorides varipes,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2b(iii,iv)"
256011,Steklar,Pseudorhyssa alpestris,Pseudorhyssa alpestris,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2b(iii)
256012,Steklar,Pseudorhyssa nigricornis,Pseudorhyssa nigricornis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2b(iii)
256013,Steklar,Megarhyssa perlata,Megarhyssa perlata,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
256018,Steklar,Rhyssella obliterata,Rhyssella obliterata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
256176,Steklar,Netelia dilatata,Netelia dilatata,Kunskapsbrist DD,,,,,,,,,,,0-0,,
256183,Steklar,Netelia nigricarpus,Netelia nigricarpus,Kunskapsbrist DD,,,,,,,,,,,0-0,,
256184,Steklar,Netelia caucasica,Netelia caucasica,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2b(iii); D2
256283,Steklar,Odontocolon appendiculatum,Odontocolon appendiculatum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
256286,Steklar,Odontocolon punctulatum,Odontocolon punctulatum,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2ab(iii)
